state	city	Alcohol Abuse Total Death of that State	State% of High School Diploma	State% of Bachelor's Degree	State% of Advanced Degree
Michigan	Rockford	4548.0	91.96	31.67	12.48
Michigan	Rockford	4548.0	91.96	31.67	12.48
Michigan	Rockwood	4548.0	91.96	31.67	12.48
Michigan	Romeo	4548.0	91.96	31.67	12.48
Michigan	Romulus	4548.0	91.96	31.67	12.48
Michigan	Romulus	4548.0	91.96	31.67	12.48
Michigan	Romulus	4548.0	91.96	31.67	12.48
Michigan	Roscommon	4548.0	91.96	31.67	12.48
Michigan	Roscommon	4548.0	91.96	31.67	12.48
Michigan	Roseville	4548.0	91.96	31.67	12.48
Michigan	Roseville	4548.0	91.96	31.67	12.48
Michigan	Roseville	4548.0	91.96	31.67	12.48
Michigan	Roseville	4548.0	91.96	31.67	12.48
Michigan	Roseville	4548.0	91.96	31.67	12.48
Michigan	Saint Clair Shores	4548.0	91.96	31.67	12.48
Michigan	Saginaw	4548.0	91.96	31.67	12.48
Michigan	Saginaw	4548.0	91.96	31.67	12.48
Michigan	Saginaw	4548.0	91.96	31.67	12.48
Michigan	Salem Township	4548.0	91.96	31.67	12.48
Michigan	Saltillo	4548.0	91.96	31.67	12.48
Michigan	Sandusky	4548.0	91.96	31.67	12.48
Michigan	Saugatuck	4548.0	91.96	31.67	12.48
Michigan	Saugatuck	4548.0	91.96	31.67	12.48
Michigan	Sault Ste Marie	4548.0	91.96	31.67	12.48
Michigan	Schoolcraft	4548.0	91.96	31.67	12.48
Michigan	Sebewaing	4548.0	91.96	31.67	12.48
Michigan	Shelby Township	4548.0	91.96	31.67	12.48
Michigan	Sheldrake	4548.0	91.96	31.67	12.48
Michigan	Shepherd	4548.0	91.96	31.67	12.48
Michigan	Shepherd	4548.0	91.96	31.67	12.48
Michigan	Sidnaw	4548.0	91.96	31.67	12.48
Michigan	Sidney	4548.0	91.96	31.67	12.48
Michigan	Somerset	4548.0	91.96	31.67	12.48
Michigan	South Rockwood	4548.0	91.96	31.67	12.48
Michigan	Southgate	4548.0	91.96	31.67	12.48
Michigan	Southgate	4548.0	91.96	31.67	12.48
Michigan	Southgate	4548.0	91.96	31.67	12.48
Michigan	Sparta	4548.0	91.96	31.67	12.48
Michigan	St. Clair	4548.0	91.96	31.67	12.48
Michigan	St. Clair	4548.0	91.96	31.67	12.48
Michigan	Saint Clair Shores	4548.0	91.96	31.67	12.48
Michigan	St. Clair Shores	4548.0	91.96	31.67	12.48
Michigan	St. Clair Shores	4548.0	91.96	31.67	12.48
Michigan	St. Clair County	4548.0	91.96	31.67	12.48
Michigan	Sterling Heights	4548.0	91.96	31.67	12.48
Michigan	Sterling Heights	4548.0	91.96	31.67	12.48
Michigan	Stevensville	4548.0	91.96	31.67	12.48
Michigan	Stronach	4548.0	91.96	31.67	12.48
Michigan	Taylor	4548.0	91.96	31.67	12.48
Michigan	Taylor	4548.0	91.96	31.67	12.48
Michigan	Taylor	4548.0	91.96	31.67	12.48
Michigan	Tecumseh	4548.0	91.96	31.67	12.48
Michigan	Thunder Bay Island	4548.0	91.96	31.67	12.48
Michigan	Traverse City	4548.0	91.96	31.67	12.48
Michigan	Traverse City	4548.0	91.96	31.67	12.48
Michigan	Traverse City	4548.0	91.96	31.67	12.48
Michigan	Traverse City	4548.0	91.96	31.67	12.48
