Time of Day	Event type	state	Combined_Evidence	Witness_Count_Group
Unknown	Unexplained Movements and Physical Manifestations	Oklahoma	Audio Only	0
night		Oklahoma	Both	0
Unknown	Mysterious Occurrences	Oklahoma	Audio Only	0
Unknown	Violent or Tragic Deaths	Oklahoma	None	0
Unknown	Unexplained Movements and Physical Manifestations	Oklahoma	Both	1
night		Oklahoma	Both	0
night	Sounds and Noises	Oklahoma	Both	1
night	Sounds and Noises	Oklahoma	Both	0
night	Violent or Tragic Deaths	Oklahoma	Both	2-5
night	Ghostly Sightings	Oklahoma	Visual Only	1
night	Sounds and Noises	Oklahoma	Audio Only	1
night	Unexplained Movements and Physical Manifestations	Oklahoma	Both	6-10
Unknown	Unexplained Movements and Physical Manifestations	Oklahoma	None	0
night		Oklahoma	Both	0
Unknown	Unexplained Movements and Physical Manifestations	Oklahoma	Both	0
evening	Sounds and Noises	Oklahoma	Both	1
Unknown	Ghostly Sightings	Oklahoma	Both	0
night	Unexplained Movements and Physical Manifestations	Oklahoma	Visual Only	0
night	Ghostly Sightings	Oklahoma	Both	2-5
night	Ghostly Sightings	Oklahoma	Audio Only	0
Unknown	Ghostly Sightings	Oklahoma	None	0
night		Oklahoma	Both	1
Unknown	Unexplained Movements and Physical Manifestations	Oklahoma	Both	0
Unknown	Unexplained Movements and Physical Manifestations	Oklahoma	Both	10+
Unknown		Oklahoma	Audio Only	0
night		Oklahoma	None	0
night	Violent or Tragic Deaths	Oklahoma	Both	0
night	Murder	Oklahoma	Both	2-5
night	Sounds and Noises	Oklahoma	Both	0
night	Object and Environmental Manipulation	Oklahoma	Both	0
Unknown	Violent or Tragic Deaths	Oklahoma	Audio Only	0
Unknown		Oklahoma	None	0
night		Oklahoma	Audio Only	1
Unknown		Oklahoma	Visual Only	0
Unknown	Murder	Oklahoma	None	2-5
night	Unexplained Movements and Physical Manifestations	Oklahoma	Both	0
night	Murder	Oklahoma	Audio Only	1
night	Violent or Tragic Deaths	Oklahoma	None	6-10
night		Oklahoma	Both	0
night	Mysterious Occurrences	Oklahoma	Both	1
Unknown	Fire and Destruction	Oklahoma	Audio Only	0
night	Murder	Oklahoma	Both	6-10
Unknown	Murder	Oklahoma	Audio Only	0
night		Oklahoma	Both	2-5
night	Object and Environmental Manipulation	Oklahoma	Audio Only	1
Unknown	Violent or Tragic Deaths	Oklahoma	Audio Only	0
Unknown	Unexplained Movements and Physical Manifestations	Oklahoma	Visual Only	0
night	Violent or Tragic Deaths	Oklahoma	Visual Only	1
night	Ghostly Sightings	Oklahoma	Both	2-5
night	Ghostly Sightings	Oklahoma	Audio Only	2-5
Unknown	Murder	Oklahoma	Both	1
night	Ghostly Sightings	Oklahoma	Both	1
Unknown	Ghostly Sightings	Oklahoma	None	1
Unknown	Ghostly Sightings	Oklahoma	Visual Only	1
Unknown	Unexplained Movements and Physical Manifestations	Oklahoma	Both	1
night	Unexplained Movements and Physical Manifestations	Oklahoma	None	1
night	Sounds and Noises	Oklahoma	Both	0
night	Sounds and Noises	Oklahoma	Both	1
Unknown	Sounds and Noises	Oklahoma	Audio Only	1
night	Ghostly Sightings	Oklahoma	Both	1
Unknown	Ghostly Sightings	Oklahoma	None	1
night	Sounds and Noises	Oklahoma	Audio Only	1
Unknown	Violent or Tragic Deaths	Oklahoma	Both	1
night	Violent or Tragic Deaths	Oklahoma	Both	1
Unknown	Unexplained Movements and Physical Manifestations	Oklahoma	Audio Only	1
Unknown		Oklahoma	Audio Only	0
Unknown	Sounds and Noises	Oklahoma	Audio Only	1
night	Object and Environmental Manipulation	Oklahoma	Both	0
night	Ghostly Sightings	Oklahoma	None	1
Unknown		Oklahoma	Visual Only	1
night	Murder	Oklahoma	Audio Only	0
night	Sounds and Noises	Oklahoma	Audio Only	0
Unknown		Oklahoma	None	10+
night		Oklahoma	Audio Only	0
Unknown	Sounds and Noises	Oklahoma	Both	0
night	Sounds and Noises	Oklahoma	Audio Only	2-5
night		Oklahoma	Both	2-5
Unknown	Mysterious Occurrences	Oklahoma	Visual Only	0
Unknown	Murder	Oklahoma	None	0
Unknown	Violent or Tragic Deaths	Oklahoma	Both	1
night	Object and Environmental Manipulation	Oklahoma	Audio Only	0
night		Oklahoma	Audio Only	6-10
Unknown		Oklahoma	None	1
Unknown	Sounds and Noises	Oklahoma	Audio Only	0
night	Murder	Oklahoma	Both	6-10
night	Unexplained Movements and Physical Manifestations	Oklahoma	Visual Only	0
Unknown	Ghostly Sightings	Oklahoma	Audio Only	0
night	Sounds and Noises	Oklahoma	Audio Only	1
night	Object and Environmental Manipulation	Oklahoma	Visual Only	1
Unknown	Ghostly Sightings	Oklahoma	Both	0
Unknown	Sounds and Noises	Oklahoma	Both	1
night	Unexplained Movements and Physical Manifestations	Oklahoma	None	6-10
night	Ghostly Sightings	Oklahoma	Both	2-5
Unknown	Unexplained Movements and Physical Manifestations	Oklahoma	Both	2-5
night	Ghostly Sightings	Oklahoma	Both	1
night	Violent or Tragic Deaths	Oklahoma	Both	0
night		Oklahoma	Audio Only	0
night	Violent or Tragic Deaths	Oklahoma	None	1
night	Murder	Oklahoma	Both	0
night	Ghostly Sightings	Oklahoma	Visual Only	2-5
night	Violent or Tragic Deaths	Oklahoma	Audio Only	1
night	Murder	Oklahoma	Audio Only	1
Unknown	Ghostly Sightings	Oklahoma	Audio Only	0
Unknown	Unexplained Movements and Physical Manifestations	Oklahoma	None	1
night	Unexplained Movements and Physical Manifestations	Oklahoma	Audio Only	1
Unknown	Violent or Tragic Deaths	Oklahoma	Both	1
night		Oklahoma	Visual Only	1
Unknown	Murder	Oklahoma	Both	1
Unknown	Violent or Tragic Deaths	Oklahoma	Both	0
night	Mysterious Occurrences	Oklahoma	Visual Only	2-5
night	Unexplained Movements and Physical Manifestations	Oklahoma	Audio Only	1
night	Sounds and Noises	Oklahoma	Both	0
night	Murder	Oklahoma	Audio Only	6-10
night	Fire and Destruction	Oklahoma	Both	6-10
Unknown	Ghostly Sightings	Oklahoma	None	2-5
night	Violent or Tragic Deaths	Oklahoma	Audio Only	0
Unknown	Ghostly Sightings	Oklahoma	Visual Only	2-5
Unknown	Violent or Tragic Deaths	Oklahoma	None	1
night		Oklahoma	Both	1
evening	Violent or Tragic Deaths	Oklahoma	Audio Only	0
night	Ghostly Sightings	Oklahoma	None	2-5
Unknown	Mysterious Occurrences	Oklahoma	Audio Only	0
night		Oklahoma	Both	0
night	Violent or Tragic Deaths	Oklahoma	Audio Only	0
Unknown	Ghostly Sightings	Oklahoma	Both	0
Unknown		Oklahoma	None	0
night	Violent or Tragic Deaths	Oklahoma	Both	1
Unknown		Oklahoma	Visual Only	0
night	Ghostly Sightings	Oklahoma	Both	10+
Unknown	Ghostly Sightings	Oklahoma	Visual Only	6-10
night	Violent or Tragic Deaths	Oklahoma	None	0
night	Ghostly Sightings	Oklahoma	Both	1
Unknown	Sounds and Noises	Oklahoma	Both	2-5
night	Sounds and Noises	Oklahoma	Both	2-5
night	Murder	Oklahoma	Audio Only	0
evening		Oklahoma	None	2-5
night	Violent or Tragic Deaths	Oklahoma	Audio Only	0
morning		Oklahoma	None	0
night	Murder	Oklahoma	Both	0
night	Unexplained Movements and Physical Manifestations	Oklahoma	None	0
night	Murder	Oklahoma	Visual Only	1
night	Murder	Oklahoma	Audio Only	0
night	Unexplained Movements and Physical Manifestations	Oklahoma	None	6-10
night	Unexplained Movements and Physical Manifestations	Oklahoma	None	0
night		Oklahoma	Audio Only	2-5
night		Oklahoma	Visual Only	1
night	Object and Environmental Manipulation	Oklahoma	None	1
night	Object and Environmental Manipulation	Oklahoma	Both	1
Unknown	Violent or Tragic Deaths	Oklahoma	Audio Only	0
Unknown	Ghostly Sightings	Oklahoma	Both	1
morning	Mysterious Occurrences	Oklahoma	Both	2-5
Unknown	Murder	Oklahoma	Both	0
night	Object and Environmental Manipulation	Oklahoma	Visual Only	0
night	Sounds and Noises	Oklahoma	Both	0
Unknown	Unexplained Movements and Physical Manifestations	Oklahoma	Both	0
Unknown	Murder	Oklahoma	Both	1
night	Sounds and Noises	Oklahoma	Audio Only	2-5
night	Murder	Oklahoma	Both	6-10
night	Sounds and Noises	Oklahoma	Both	0
night	Object and Environmental Manipulation	Oklahoma	Visual Only	1
night	Ghostly Sightings	Oklahoma	Audio Only	6-10
night	Unexplained Movements and Physical Manifestations	Oklahoma	Visual Only	1
night	Unexplained Movements and Physical Manifestations	Oklahoma	Audio Only	0
night	Unexplained Movements and Physical Manifestations	Oklahoma	Both	0
Unknown	Ghostly Sightings	Oklahoma	Visual Only	1
night	Object and Environmental Manipulation	Oklahoma	Both	6-10
night		Oklahoma	None	2-5
Unknown	Ghostly Sightings	Oklahoma	Visual Only	1
night	Mysterious Occurrences	Oklahoma	Both	6-10
Unknown	Unexplained Movements and Physical Manifestations	Oklahoma	Audio Only	6-10
Unknown	Ghostly Sightings	Oklahoma	Audio Only	6-10
night	Violent or Tragic Deaths	Oklahoma	Both	1
Unknown	Ghostly Sightings	Oklahoma	Audio Only	0
Unknown	Violent or Tragic Deaths	Oklahoma	Both	0
night	Object and Environmental Manipulation	Oklahoma	Both	1
night	Object and Environmental Manipulation	Oklahoma	Both	6-10
night		Oklahoma	Audio Only	1
night	Ghostly Sightings	Oklahoma	None	0
Unknown	Sounds and Noises	Oklahoma	Audio Only	0
Unknown	Sounds and Noises	Oklahoma	Audio Only	1
night		Oklahoma	Visual Only	1
night	Mysterious Occurrences	Oklahoma	Visual Only	0
Unknown	Sounds and Noises	Oklahoma	Both	0
night	Murder	Oklahoma	Audio Only	0
night	Murder	Oklahoma	Both	6-10
Unknown	Violent or Tragic Deaths	Oklahoma	Both	2-5
Unknown		Oklahoma	Audio Only	0
Unknown	Sounds and Noises	Oklahoma	Audio Only	1
night	Ghostly Sightings	Oklahoma	Visual Only	2-5
Unknown	Unexplained Movements and Physical Manifestations	Oklahoma	Audio Only	1
night	Murder	Oklahoma	Both	1
night	Murder	Oklahoma	Audio Only	2-5
evening	Unexplained Movements and Physical Manifestations	Oklahoma	Both	0
night	Violent or Tragic Deaths	Oklahoma	Both	1
night	Violent or Tragic Deaths	Oklahoma	None	1
night	Sounds and Noises	Oklahoma	Audio Only	1
Unknown	Unexplained Movements and Physical Manifestations	Oklahoma	Both	1
night	Unexplained Movements and Physical Manifestations	Oklahoma	None	0
night	Unexplained Movements and Physical Manifestations	Oklahoma	Both	6-10
Unknown	Ghostly Sightings	Oklahoma	Both	0
night	Object and Environmental Manipulation	Oklahoma	Both	1
night		Oklahoma	Both	1
Unknown	Murder	Oklahoma	Audio Only	0
night	Ghostly Sightings	Oklahoma	Audio Only	1
Unknown	Fire and Destruction	Oklahoma	None	0
morning	Ghostly Sightings	Maine	Visual Only	0
Unknown	Mysterious Occurrences	Maine	Audio Only	0
night	Ghostly Sightings	Maine	Visual Only	1
night	Sounds and Noises	Maine	Audio Only	1
Unknown	Unexplained Movements and Physical Manifestations	Maine	Visual Only	0
night	Murder	Maine	Visual Only	0
Unknown	Violent or Tragic Deaths	Maine	Audio Only	1
night	Sounds and Noises	Maine	Audio Only	0
Unknown	Murder	Maine	Visual Only	1
night	Violent or Tragic Deaths	Maine	Both	2-5
night	Sounds and Noises	Maine	Both	0
night	Violent or Tragic Deaths	Maine	Both	1
night		Maine	Both	0
night		Maine	Audio Only	0
evening	Ghostly Sightings	Maine	Audio Only	0
Unknown	Unexplained Movements and Physical Manifestations	Maine	Audio Only	0
night		Maine	Visual Only	0
Unknown	Unexplained Movements and Physical Manifestations	Maine	Visual Only	0
Unknown	Sounds and Noises	Maine	Both	1
night		Maine	None	2-5
Unknown	Unexplained Movements and Physical Manifestations	Maine	Audio Only	0
Unknown	Violent or Tragic Deaths	Maine	Audio Only	2-5
Unknown	Violent or Tragic Deaths	Maine	None	0
Unknown	Violent or Tragic Deaths	Maine	Audio Only	2-5
Unknown	Object and Environmental Manipulation	Maine	Both	1
night	Object and Environmental Manipulation	Maine	None	1
night		Maine	Both	2-5
night	Sounds and Noises	Maine	Both	0
night	Ghostly Sightings	Maine	Both	0
night	Ghostly Sightings	Maine	None	1
Unknown		Maine	Visual Only	0
night	Ghostly Sightings	Maine	Visual Only	1
Unknown	Unexplained Movements and Physical Manifestations	Maine	None	0
Unknown		Maine	Visual Only	1
night	Unexplained Movements and Physical Manifestations	Maine	Both	1
Unknown	Ghostly Sightings	Maine	None	1
morning	Unexplained Movements and Physical Manifestations	Maine	Audio Only	6-10
morning	Sounds and Noises	Maine	Audio Only	0
Unknown	Mysterious Occurrences	Maine	Both	1
Unknown	Unexplained Movements and Physical Manifestations	Maine	Visual Only	0
night	Ghostly Sightings	Maine	Audio Only	1
night		Maine	Visual Only	0
night		Maine	Both	1
Unknown	Violent or Tragic Deaths	Maine	Audio Only	6-10
Unknown	Unexplained Movements and Physical Manifestations	Maine	None	0
Unknown		Maine	Both	2-5
night		Maine	Audio Only	0
Unknown	Unexplained Movements and Physical Manifestations	Maine	Audio Only	1
Unknown	Mysterious Occurrences	Maine	None	0
night	Object and Environmental Manipulation	Maine	Visual Only	2-5
night	Ghostly Sightings	Maine	Audio Only	1
night	Violent or Tragic Deaths	Maine	Audio Only	0
Unknown		Maine	Audio Only	0
morning	Violent or Tragic Deaths	Maine	None	6-10
night	Object and Environmental Manipulation	Maine	Visual Only	1
Unknown	Unexplained Movements and Physical Manifestations	Maine	None	1
night	Violent or Tragic Deaths	Maine	Audio Only	2-5
night	Unexplained Movements and Physical Manifestations	Alaska	None	0
Unknown	Unexplained Movements and Physical Manifestations	Alaska	None	0
Unknown	Ghostly Sightings	Alaska	Visual Only	0
night	Violent or Tragic Deaths	Alaska	Both	10+
Unknown	Unexplained Movements and Physical Manifestations	Alaska	Audio Only	10+
Unknown	Violent or Tragic Deaths	Alaska	Visual Only	2-5
Unknown	Murder	Alaska	Audio Only	2-5
Unknown	Unexplained Movements and Physical Manifestations	Alaska	Visual Only	1
night	Unexplained Movements and Physical Manifestations	Alaska	Visual Only	0
Unknown		Alaska	None	0
Unknown	Ghostly Sightings	Alaska	Audio Only	10+
night	Ghostly Sightings	Alaska	Audio Only	0
Unknown	Sounds and Noises	Alaska	Audio Only	1
night	Murder	Alaska	Visual Only	1
Unknown	Unexplained Movements and Physical Manifestations	Alaska	Audio Only	0
Unknown	Ghostly Sightings	Alaska	None	1
night		Alaska	Visual Only	1
Unknown		Alaska	Audio Only	1
night	Unexplained Movements and Physical Manifestations	Alaska	Both	0
Unknown	Violent or Tragic Deaths	Alaska	Audio Only	1
Unknown	Unexplained Movements and Physical Manifestations	Alaska	Audio Only	0
Unknown	Ghostly Sightings	Alaska	None	0
Unknown		Alaska	Visual Only	0
Unknown	Murder	Alaska	Audio Only	1
night		Alaska	None	0
night	Violent or Tragic Deaths	Alaska	Audio Only	0
night	Unexplained Movements and Physical Manifestations	Alaska	Both	1
Unknown	Violent or Tragic Deaths	Alaska	Both	0
Unknown		Alaska	Both	0
morning	Murder	Alaska	Both	1
Unknown	Unexplained Movements and Physical Manifestations	Alaska	None	0
Unknown	Violent or Tragic Deaths	Alaska	Audio Only	0
night		Louisiana	Both	0
Unknown	Unexplained Movements and Physical Manifestations	Louisiana	Audio Only	0
night	Object and Environmental Manipulation	Louisiana	None	1
night	Mysterious Occurrences	Louisiana	Both	2-5
night	Ghostly Sightings	Louisiana	Audio Only	1
Unknown	Unexplained Movements and Physical Manifestations	Louisiana	None	1
night	Murder	Louisiana	Audio Only	2-5
night	Ghostly Sightings	Louisiana	Audio Only	2-5
night	Unexplained Movements and Physical Manifestations	Louisiana	Audio Only	1
Unknown		Louisiana	None	0
night	Ghostly Sightings	Louisiana	Audio Only	6-10
night	Sounds and Noises	Louisiana	Both	0
night	Murder	Louisiana	Visual Only	1
night	Ghostly Sightings	Louisiana	None	1
Unknown	Ghostly Sightings	Louisiana	Visual Only	1
night	Ghostly Sightings	Louisiana	Both	1
morning	Ghostly Sightings	Louisiana	Audio Only	1
Unknown	Sounds and Noises	Louisiana	Audio Only	1
night	Murder	Louisiana	Visual Only	2-5
Unknown	Ghostly Sightings	Louisiana	Visual Only	0
night		Louisiana	Audio Only	0
night	Ghostly Sightings	Louisiana	Audio Only	1
night	Violent or Tragic Deaths	Louisiana	Audio Only	1
Unknown	Ghostly Sightings	Louisiana	Audio Only	0
Unknown	Sounds and Noises	Louisiana	Visual Only	1
night	Unexplained Movements and Physical Manifestations	Louisiana	Both	1
Unknown	Ghostly Sightings	Louisiana	None	10+
Unknown		Louisiana	Visual Only	1
night	Sounds and Noises	Louisiana	Audio Only	0
night	Sounds and Noises	Louisiana	Both	0
Unknown	Unexplained Movements and Physical Manifestations	Louisiana	Visual Only	0
Unknown	Ghostly Sightings	Louisiana	Visual Only	0
Unknown		Louisiana	Audio Only	1
Unknown		Louisiana	Audio Only	10+
